player,per,bpm,,,,,,,
RJ Barrett,13.4,-1.2,,,,,,,
Kent Bazemore,10.6,-1.2,,,,,,,
Patty Mills,11.8,-1.2,,,,,,,
Dennis Schröder,13.8,-1.2,,,,,,,
Wendell Carter Jr.,16.7,-1.3,,,,,,,
Bryn Forbes,12.8,-1.3,,,,,,,
Tyler Herro,13.3,-1.3,,,,,,,
Derrick Jones Jr.,11.9,-1.4,,,,,,,
Jae'Sean Tate,13.8,-1.4,,,,,,,
Keldon Johnson,13.8,-1.6,,,,,,,
Shake Milton,14.6,-1.6,,,,,,,
Josh Richardson,11.9,-1.7,,,,,,,
Cory Joseph,12.5,-1.8,,,,,,,
Will Barton,11.8,-1.9,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
